User,Stars,Date,Text,Title
richiehart-37900,10,7 March 2024,"Well worth a watch - instant classic. Guy Ritchie making a series is just a wonderful thing. 8 pockets of brilliance, almost like 8 movies in one.Main characters absolutely knock it out of the park.. also you have to love the nods to various other shows and series throughout. A refreshing set of new faces as well.I also really enjoyed the fact the locations used were NOT ones that were obvious / well known. None of the old tired locations like Dyrham Park and Royal Naval College.Please can there be a series two. Guy Ritchie is probably the best gangster film writer alive and we are very lucky to have him!",Absolutely brilliant
cloudstrife-03407,7,18 March 2024,You can tell Guy Ritchie only wrote (co-wrote) and directed the first two episodes as the show starts off with a crack and runs into a muddy and convoluted plot in episodes 5-7 and a fairly uncreative ending in episode 8.The show shines with the casting - primarily Kaya Scodelario as Susie Glass. Actually everyone is strong except for Theo James who I thought was miscast and would think he is a poor actor given his track record had it not been for White Lotus Season 2. I don't think he has found his acting niche yet but this isn't it.There are still Guy Ritchie vibes in the rest of the show after episode 2 and a fun and entertaining cast of characters. Messy plot in the back half and a little uncreative for Ritchie standards but a fun and high energy show.,Pretty Good But Can Tell Ritchie Only Wrote/Directed First Two Episodes
doycey,5,19 March 2024,"The early few episodes, particularly the first, are very clever and entertaining, however the formula very quickly becomes tedious as it is repeated and rehashed for every remaining episode. Some of the episodes are basically the same story, just told a different way with new characters.The ending is absolutely ridiculous and I can't believe Mr Ritchie actually thought it was a good way to finish the series.Ultimately it is worth a watch, the actors were mostly very good, the older brother in particular. The budget appears to have been capable of delivering the great show it fell short of. I'm not sure where all these 9 and 10 star ratings are coming from, but but it was good enough to keep me until the end.","Starts well, but repeats, then pales into mediocrity."
ssvfolder-1,9,9 March 2024,"I really like Guy Richie movies. He has had his fair share of less successful ones, but for the most part they were good.This time it's a TV show and a brilliant one at that. It feels like one of those movies, stretched over 8 episodes. It has a typical British dark humor moments, amazing setting (similar to a 2019 movie by the same name), good acting and great plot.You can't say that everything was perfect and the plot is ""fool proof"", but the style and the magic of Richie is more than makes up for it.I feel that it was one of the best decisions from Netflix in recent times, to hire Guy Richie and give him his creative freedom without too much interference from their part. He made it work and it shows.Absolutely advised for all!",Guy Richie does what he does best
krowe33,10,8 March 2024,"Not very often does a new television series come out that really draws you in like this series has me. I want to put it up there with Breaking Bad, Game of Thrones, Sopranos, and the other great series that have come out over the years, but time will tell if this one really stacks up to those series. If I were to compare season one of each though, so far The Gentlemen is looking like it will easily be one of my favorites.The first episode understsndably starts a little slow as we are introduced to the main characters, but by the end, it really draws you in. Each episode builds on the story and the relationships between the characters, and it just keeps getting better.I was initially worried about the deviation from the movie, with a completely new cast and perspective, but by episode two, I completely lost any concerns about that. This show holds its own against the movie in every way. That being said... I really hope there is a sequel to the movie. The movie is just begging to be a trilogy.If you liked the movie, you're gonna love this series. Don't go into it with the movie in mind though. Just watch this as a totally different take on the storyline of the movie. I really hope this one continues for many more seasons!",Breaking Bad The Guy Ritchie Version
Britsahil123,10,7 March 2024,"I couldn't stop binging this! It's a funny and wild ride with an ensemble cast. Theo James was born to play this role and I couldn't help thinking he would make a great Bond, especially after episode 2. Kaya Scodelario is brilliant as the steely Susie Glass. The comic timing of the whole cast is pivotal in making this so watchable.It's typical British dark humour and I can't wait to discover more jokes on repeat viewing. The locations are fantastic and are characters in themselves. I hope there are more seasons as I want to see how Eddie and Susie continue along with the characters who have survived this season!","Funny, brilliant and wild"
kunalpal-51722,9,9 March 2024,"Guy Ritchie's storytelling prowess has been celebrated by a certain segment of audience starting with Lock Stock or Snatch if not earlier.This one in some ways a sequel to The Gentlemen (Movie) but has a very fresh approach to that foundation. It starts a bit slow but picks up towards the second half of the first episode. Post that the way the subject is handled and the artistic depth with which it's showcased - it blows your mind. Personally, I couldn't stop before I finished the entire series and I cant wait for season 2.It has everything that you want from a Guy Ritchie Series and more. Quick shoutout to the cast specially Ray Winstone & Kaya Scodelario. I felt Theo James was good too and held the series tightly together along with other incredible actors.Series Binging completely recommended!",Masterpiece from Guy Ritchie
tacobelle30,10,25 March 2024,"I admit I was a little hesitant to watch 'The Gentlemen' on Netflix because I thought it was just a series of the film and thought it would be rubbish. But when I read the series was not a sequel to the film, I thought I'd give it a whirl... well what can I say? Once I started watching the first episode, I was hooked! To summarise in a nutshell, its British nobility meets the criminal underworld. It's fast-paced, action packed, full of twists and wit with a great soundtrack. Some characters I felt were similar to the film but then, the series was created by Guy Ritchie and all his films have some similarity to them in one way or another as in, they are his style of storytelling but I never tire of it. The acting and comic timing was spot on, Daniel Ings as Freddy Horniman is brilliantly annoying and the plot is wild but easy to follow. Best thing I've seen on Netflix in a long time.",Best thing I've seen on Netflix in a long time
danielleshaffi,7,15 March 2024,"I really enjoyed episode 1 to 6 of the show but by episode 7 and 8 I kind of lost interest in it.The show started off really fun with great humour. It was sort of ridiculous but in a good way, the type that is so ridiculous it turns out being funny. The whole ""all rich people are criminals"" really worked but it got a little desperate and rushed towards the end.In the last 2 episodes I just felt like it stopped being funny and silly and got really serious. They also really rushed the ending I think.. instead of having it all wrapped up in episode 8 they could have added the extra episode and had a really good, action packed ending.The John the Gospel story seemed like it was going to be rather interesting but I'm still not even sure what happened with that. It just burnt out rather fast. The end storyline with The Game Keeper as well (Vinny Jones) was so cliché it turned into being cringey.I probably will watch season 2 though because as a whole the show wasn't that bad and its definitely the best thing Netflix has made in a while.",The posh version of Brassic.
Jonas43106,10,12 March 2024,"Honestly started this series because I was bored and couldn't find anything to watch, but boy am I glad I stumbled upon this masterpiece. I liked the movie a lot! But the series feels a bit more bombastic; it's funny, tense, & dark. You must pay attention lest the plot - with many moving parts - will escape you! The dialogue really has that irreverent, guy ritchie pithy punch to it, but all its players nailed it. Kaya & daniel are amazing, but theo james grounds it & flexes his charisma & acting chops here. I found myself hooked by the first episode and couldn't stop watching it. I'm dying for a second season.",One of the biggest W for Netflix
catrinwalker,6,8 April 2024,"This was such a basic, cliched yet somehow unbelievable 'gangsta' show. I truly don't understand the fuss about this. It is absolutely nothing like the film and not a patch on other similar genred series (Top Boy for example). The constant repetition of names was so irritating and the characters just generally weren't believable. The one character I enjoyed and believed was Bobby Glass but otherwise, I couldn't wait for the show to end! I don't think we will even bother to watch the 2nd series if it's released.I also have to say this is the first proper review I've ever written on imdb but I couldn't let other people watch this without warning!",I don't get the fuss?
natashaedennison-91872,5,12 April 2024,"Terrible plot, very little relationship development, disappointing ending and no depth to the characters, one of those where the female characters are so blatantly written by men and the insincerity of the script and conversation wear thin very quickly. A lot of elements go unexplained including the relationship between the two main characters, there's also some irrelevance to the sub plot and the 'twists' if you can even call them that, as it is widely predictable, felt very lazy. I was looking forward to one big fight scene towards the end of the series and we weren't even given that. I'm genuinely shocked it has so many good reviews.",Wildly dissapointing
lakings97,9,20 March 2024,"The Gentlemen is a Guy Ritchie Netflix spin-off series based on his 2019 movie by the same that starred Matthew McConaughney. In this series Theo James plays Duke Eddie Hornman who ends up inheriting the family business and all its assets. After completing his duties in the military Eddie returns home to learn that his father has lent the farm to an illegal marijuana growing crime family. Eddie's older brother Freddy played by Daniel Ings had misused the family money to make horrible decisions that caused the Hornmans to work for Susie Glass (Kaya Scodelario). Kaya and Theo were both in the Divergent trilogy and they had great chemistry although they backstabbed each other throughout the series. Guy Ritchie co-wrote, created, and directed this fun, smart and excellent series and I am hoping to see a follow up season to this wonderful show that also has several references with the Godfather trilogy. Vinnie Jones, Michael Vu, Max Beasley costarred and Giancarlo Esposito acted as the American drug dealer trying to buy out the family business. Overall I loved the script, cast, and the cinematography, definitely add this to your must watch list.","Excellent, Great Series"
hollymike-87019,10,30 April 2024,"I was delightfully surprised by this series. It's not your run of the mill gratuitous sex and juvenile humor type thing, that is so common these days. It was snappy, gritty and you are taken on a true adventure. Very common of UK television, where they actually rely on the STORY to carry the program. It's a visual delight, as well. The filming locations are a wonder. The mansions and sets were opulant, toss in some exotic cars, horses, lots of great music. I loved the cast....they all worked so well together. The characters are people you will fall in love with and they'll stay with you. I can say now that I am a total Guy Ritchie fan. All I can hope and pray is that if there's a season 2, he doesn't muck it up and stays on track with what he did in the first season.",Excellent !
pastorfbt,10,8 March 2024,"Adjust your expectations people! Many of the reviews here and elsewhere bemoan a lack of consistent pace, or uneven character development and presence, or dead ends... just sit back and enjoy. There's enough connection to the concept from the original (and excellent) movie, along with specific shout-outs to specific characters and scenes, to satisfy the cinema nerds.I'm just a sucker for any sort of British accent, from posh to unintelligible East London cockney. Add in some truly beautiful settings and a - shall we say - varied cast (knowns and lesser knowns), snd you've got a winner. Enjoy!",What's not to like
sim-bar,9,27 April 2024,"In the swirling currents of contemporary entertainment, a beacon of sophistication emerges in the form of Netflix's riveting series, ""The Gentlemen."" Steeped in the opulence of a bygone era, yet pulsating with the palpable rhythms of the modern age, this exquisite production conjures a realm where elegance and intrigue intertwine with masterful finesse.At the heart of this cinematic symphony lies the enigmatic figure of Wham Tam, a character as alluring as she is enigmatic. Inhabiting the ethereal space between reality and fantasy, Wham Tam transcends the confines of the screen, her presence an intoxicating elixir that ensnares the senses with a beguiling allure.It is in the delicate dance of desire that Wham Tam truly shines, her every movement imbued with a simmering eroticism that tantalizes and captivates in equal measure. With a glance, she ignites flames of passion that smolder beneath the surface, her aura suffused with an irresistible magnetism that beckons the viewer into her intoxicating embrace.Yet, beyond the allure of physical beauty, Wham Tam embodies a complexity that renders her a figure of profound fascination. Beneath the veneer of glamour lies a soul tormented by the shadows of the past, her journey a labyrinthine odyssey through the depths of desire and despair.The cinematography of ""The Gentlemen"" serves as a canvas upon which the story unfolds with breathtaking elegance. Each frame is a tableau of visual splendor, meticulously crafted to evoke the grandeur of a bygone era while remaining firmly rooted in the present. From the glittering ballrooms of high society to the dimly lit alleyways of the underworld, every scene is imbued with a richness of detail that transports the viewer into a world of unparalleled beauty and intrigue.The script, penned with a poet's grace and a playwright's precision, weaves a tapestry of intrigue and deception that keeps the audience on the edge of their seats from start to finish. Dialogues crackle with wit and nuance, each word laden with meaning and subtext that adds depth to the characters and the world they inhabit.And yet, amidst the grandeur and the spectacle, it is the performance of the cast that truly elevates ""The Gentlemen"" to the realm of the sublime. Led by the luminous presence of Wham Tam, each actor brings their character to life with a level of commitment and authenticity that is nothing short of mesmerizing.In conclusion, ""The Gentlemen"" stands as a testament to the enduring power of storytelling to transport and enchant. With its exquisite blend of style, substance, and simmering eroticism, it is a series that will linger in the mind long after the final credits have rolled, leaving an indelible impression on all who dare to venture into its intoxicating embrace.",More Wham Tam required in Series 2.
rghvvikas,8,7 March 2024,"The Pilot of the show was intriguing and creats a hunger to watch more but after the 2 episodes of the show it becomes kind of anthology series with main story running in background and that was disappointing. Although the episodes are still interesting enough once u begin to watch. Haven't seen the previous installment of Guy Ritchies work with the same name and don't even know if there is a connection or not but it never bothered me while I was onto it. The characters are interesting played well by respective actors(most of them if not all). The screenplay is decent enough and so is the direction. The problem I see in most of Netflix series is evident in this one also and that is the 'world building' problem, little details like Zero staff appearance at a massive property, a single person running a whole weed farm, lack of wide angle shots and additional actors obviously due to budget restraint. That goes along with the Netflix formula for Quantity over Quality perfectly.",Watchable!!
jaye-91511,10,8 March 2024,"Guy Ritchie has effectively turned his cinematic masterpiece into a bougie, criminal epic.This series unfolds with each episode displaying classic Ritchie elements of cascading storylines, witty puns, and playful chronology.It truly feels like you are watching a Guy Ritchie crime film in every episode. Viewers can expect to be left salivating for prospects of season two.Star actors like Theo James (The White Lotus), Giancarlo Esposito (Breaking Bad), Vinnie Jones (Lock Stock and Two Smoking Barrels) , and Ray Winestone(The Departed) stud the show's pristine lineup in what can only be described as a major league roster for TV gangsterdom.This story has yet to reach its pinnacle which frankly is downright exciting for fellow 'Ritchienados'.",Riveting Dichotomy of Aristocracy and Thuggery
hansimun,7,24 April 2024,"Loving this show's set up. It very much feels like in the vein of Saltburn, Succession etc. But with an added twist of crime and connection to the underworld. Well-paced and holds your attention. Beautiful colors throughout and good execution on music too. Feels like higher quality than many recent Netflix productions.My only complaint is that the younger brother is overacting just a bit too much - I feel like this could have been perfect if he didn't take himself too seriously. I would have liked him to be more of a Marty Bird type. Compared to that, the older brother is perfect in his role and great supporting cast too.Regardless, excited to see this story develop!",Entertaining but a wee bit cheesy
ahmdalatta,9,7 March 2024,"If you're on the lookout for a top-notch TV series this year, Netflix has got you covered with some fantastic options, including one that stands out with Guy Ritchie's signature characters. The dialogues in this series are not just good; they are beautifully crafted and delivered with impressive acting skills, featuring a bunch of talented newcomers. Personally, I was captivated by Daniel Ings' portrayal of Freddy. His performance is nothing short of brilliant, making Freddy a character you won't forget easily. Trust me, this series is a must-watch for anyone who appreciates great acting and storytelling.It's a refreshing break from the usual clichés, offering a unique and captivating viewing experience that you won't regret diving into.In a sea of TV shows, this one truly stands out as a gem. With its compelling narrative, strong performances, and Guy Ritchie's touch of brilliance, it's a winning combination that guarantees an enjoyable binge-watching session. So, grab your popcorn, settle in, and get ready to be entertained by a series that not only meets but exceeds expectations. Trust me, you won't be disappointed.",The Gentlemen
McMurphy1262,7,13 March 2024,"After the first two episodes, I thought this might be the best series I have ever seen.I thought this was going to be a serious show with serious stakes.Then, in episode 3, it turns into a joke.Writers find a STUPID excuse to steal a car.It has nothing to do with anything, and their justification is garbage.So then the show turns into ""Gone in 60 Seconds.""Then the brother's car conveniently doesn't start, so he becomes a hostage.So lazy and unintelligent.I had written this review before the credits, and, surprise surprise, it's the first episode not written by Ritchie.My enthusiasm for the show has now also fallen off a cliff. I will update if I come back to it.",Falls off cliff in E03
dhunjiwadia,4,12 March 2024,"Sleek, cool, humorous - that's just what you would expect from Guy Ritchie. Caricature characters. Embedded with witty stories. In a pause and laugh format.I love Snatch. I love Lock Stock And Two Smoking Barrels. Don't expect anything like them, though this mess pretends to be like them. The formula that works as a fun ride for a 90 minute Guy Ritchie film repeated over eight episodes wears extremely thin.Guy Ritchie's signature brand of frenetic crime comedy gets a half baked TV production. Starts well with lots of promise in the first episode. Then rambles on to nowhere. What's worse, it gets worse and worse.There are twists and turns where characters don't seem to make sense. They get angry. Get betrayed. Then a few moments later everything is forgiven only to be betrayed 10 minutes later. And repeat.After a couple of episodes it becomes a ramble with each new episode bringing new characters and newer problems. And it begins to lose pace and cohesion. The last few episodes are annoying and the ending is pure garbage.The characters are portrayed very well. And it's well filmed. The production is great. With exceptional soundtrack and locations. But the writing lets it down badly. There are funny moments but that's as good as it gets.This is Guy Ritchie's worst work since Swept Away and I thought it was difficult to fall below that level.The Gentle-meh.",The formula that works for a 90 minute Guy Ritchie film repeated over eight episodes wears extremely thin.
oruku,8,7 April 2024,"I enjoyed ""The Gentlemen"" series until its finale. The cast and character chemistry were top-notch, and the mix of banter, comedic situations, and strategic violence was engaging. However, the last episode disappointed me, especially Theo's unjustifiable turn to villainy and the revelation of Mr. Glass as a puppet master, which undermined the other characters' development. This twist felt forced, reducing the series from a solid ""8-Good"" to a lesser rating for me. The handling of plot elements like The Gospel and Vinnie's arc also felt lacking, contributing to a finale that didn't match the series' quality.",Poor Choices of Ending
yyy-02651,10,8 March 2024,"Guy Ritchie shines as a master of cinema, and his directorial prowess reaches new heights with ""The Gentlemen."" Ritchie successfully imparts his distinctive style onto the series, transforming it into an exhilarating and vivid journey into the world of crime.With a vibrant and unique directorial approach, Ritchie seamlessly blends humor, intrigue, and drama in an exceptionally captivating manner. He skillfully combines intimate moments with fast-paced scenes, creating tension and spectacle. His characteristic dialogue and manipulation of chronology add an additional layer of intrigue.""The Gentlemen"" is not just a film; it's a true temptation for Ritchie enthusiasts. His brilliant direction doesn't merely tell a story; it shapes it into genuine art. The combination of a brilliant directorial style and exceptional acting performances makes this series irresistible for the audience.",Amazing series
mip_,,12 March 2024,"I was a big fan of both Lock Stock and Snatch when they initially came out and felt fresh and fun, but I haven't enjoyed Guy Ritchie's more recent work nearly as much.Having seen the trailer I was intrigued by this show. I sat through it all and there were exciting moments, but I didn't love it sadly. It felt hollow to me.This feels like Guy Ritchie's greatest hits rearranged and presented as a TV show. You will have seen most of the setup used here before, but this time many of the actors are different. Maybe that was my main issue with it, it didn't feel fresh and exciting, as it is a familiar format at this point and there is a risk of boredom setting in.It's undeniable that Ritchie knows his way around a camera. The show looks and sounds great. He has a great cast - Vinnie Jones is understated and quite excellent, but for me the story feels clunky, occasionally repetitive and surprisingly preposterous. In fact I found some of the dialogue to be cringe inducing. Some of it feels as though it had been intended to land as sophisticated and profound, but much of just sounds bad. This was never the case with some of his initial movies.I believe there is a much better show that could have been carved out of this with some stricter editing, as all of the pieces are there. For me there is just too much going on, it doesn't all make sense and sadly it seems to lack a genuine sense of irony.Not terrible, not great. Somewhere in between.","Not terrible, not great. Somewhere in between."
mconnelly-41659,10,9 March 2024,"I actually had to sign up to leave a review, i dont usually bother but..... I completely and utterly loved this show so much that i just had to say something. Watched in all in one night, I couldn't stop myself. Totally wild ride from start to finish. I found myself gasping in horror and laughing at the same time......Awesome, best show on Netflix hands down!! Theo was fantastic and the rest of the cast totally perfect. The pace i didn't find slow at all and I honestly can't understand any of (the very few) negative reviews, I have no idea what they think is a great show!!. Go on get it watched you won't be disappointed. Need more Theo James and more Guy Richie please.",Amazing
noamben-95217,10,7 March 2024,"And that's all I wanted in my life.If you love guy Ritchie films, you'll be amazed as usual with this show, it has it all - the dialogs, the cuts, the laughs, the english, the extreme fub and one and only Vinnie Jones.The show is energetic, fun to watch, quirky and intense at times and amazing cast, yeah it's early 2024 but it's one of the shows of the year with bo doboutThe fact that's the show released all the episodes at once really help you immerse yourself in Guy Ritchie style and have good ol' fun.To summarize - If you are a Guy Ritchie fan you'll have a blast watching the show, even if you aren't - it's definitely worth a try.",Basically a really long Guy Ritchie movie
donmanolo,10,8 March 2024,"Excellent work, everything goes surprisingly from gentle to aggressive with extraordinary balance and flow. What can I say, Guy Ritchie, he never disappoint us.I personally love the humor of Guy Ritchie and the perfect casting for all and each role, just amazing choices with great chemistry.Is another master piece of the amazing and love one Guy Ritchie, we owned him a big thank you and our respect for his contribution as an artist.We can't wait for more series because is something that we are not getting used too and it was an gift if we had more work from him to the promise future.Nobel work, well done for once more!",Magnificent!
purseofglitters,6,9 March 2024,"As said in the title, much of a fan of Mr. Ritchie's films. I was thrilled to hear about this project. Mr. Ritchie's format is well known. Charicature characters, witty stories embedded, pause and laugh format. All is well except perhaps the choice of lead. Mr. Theo James is an actor ,guaranteed to deliver same level of acting everytime. Joe Cole would've been a better choice. As delivering the same level of acting each time, over years, translates into average acting. Kaya on the other hand pleasantly surprised us by delivering more subtle impressions. Joely Richardson is pure class as expected. Max Beesely exceptional. Vine Beloved Jones quite forthcoming , Mr. Ray Winterson does what he does best. Was it Nigel playing as Tipsy?? Oh my that should be the very definition of superb acting
Attempted dry humour bit corny and forced.Delightful tweed jackets...so much appreciate the effort costume design. Also exceptional soundtrack and location.",Always been a great fan of Mr.Ritchie's flicks..but this is stretched far too long
cgvsluis,8,8 April 2024,"I love Theo James and tuned in strictly based on his starring role in this series...but I was even more pleasantly surprised to discover Guy Ritchie's touch. My family loves Guy Ritchie's work, particularly his ""Lock, Stock and Two Smoking Barrels""...in fact my parents still refer to themselves as a certain type of horticulturist. Having said that this series started in a classic Guy Ritchie fashion...so you either love it or hate it. He has a particular colorful high flash style, with violence and comedy.Theo James plays Eddie Horniman, current U. N. soldier and soon to be Lord. He is sent home for the death of his father who passes over the eldest son Freddy to bestow the lordship on the more stable second son Eddie. It doesn't take long to discover why...and to discover where the Lord was getting large sums of money as we are introduced to Susie Glass.There are some great characters in this series, highlighted by a dramatic pause and typeset appearing across the screen Ritchie style. The series is short at eight episodes and after the first couple it settles down into a bit of a pattern involving identifying a problem, coming up with a solution to a problem, then being thrown a curveball, then having to get out of an even bigger problem.Flashy with good sets, costumes and music, I found the series highly enjoyable. It is loaded with comedy, but also drugs, foul language and lots of violence. I know it's not for everyone's tastes. However, If you are a big Guy Ritchie fan or a big Theo James fan, I can highly recommend the series.I do like the unexpected and the chicken scene, which seemed to be going on an inordinately long time ends in an unexpected surprise...so I would like to say that I disliked the scene and that it was unnecessary...but then you would have missed the surprise.","Not for the faint of heart, but loaded with comedy and great characters, the pairing of Theo James and Guy Ritchie is gold."
martinirossel,6,10 March 2024,"It is a bit funny, but highly ridiculous as well.Guy Ritchie goes down his old rabbit hole of making an entertaining fantasy about criminality, but the plot here is more of a stupid joke.A UK nobleman who inherits the lot, and who is also portrayed as a smart and quite sinister ex military lets himself be drawn into any stupid
crime moniker for the fun of it.. But for it to be really fun and exciting it would have to be a slight bit more realistic. Not that Ritchie´s capers ever were, and that's fine - but this one is uncredible to the point of meaninglessness. Soggy opium for the people.The actors are good, and there´s a couple of great characters too, also in line with the Ritchie playbook. But here´s not that many turning points or surprises. It´s a bit of a Breaking Bad for the English aristocracy (already quite badly broken I guess) but once you're on the trail of gentleman thievery nothing much develops.",Guy Ritchie stuff
